id,index,match_id,period,timestamp,minute,second,event_type_id,event_type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,player_id,player_name,player_position_id,player_position_name,location_x,location_y,end_location_x,end_location_y,end_location_z,impact_height,duration,under_pressure,counterpress,substituted_player_id,substituted_player_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_cross,pass_cut_back,pass_switch,assisted_shot_id,key_pass_id,follows_dribble,one_on_one,open_goal,statsbomb_xg,off_camera,out,obv_for_after,obv_for_before,obv_for_net,obv_against_after,obv_against_before,obv_against_net,obv_total_net,outcome_id,outcome_name,type_id,type_name,card_id,card_name,body_part_id,body_part_name,technique_id,technique_name,position_id,position_name,advantage,aerial_won,backheel,defensive,deflected,deflection,first_time,in_chain,miscommunication,nutmeg,offensive,overrun,penalty,recovery_failure,redirect,save_block,through_ball,throw_in,early_video_end,late_video_start,match_suspended,related_events,freeze_frame_player_id,freeze_frame_player_name,freeze_frame_player_position_id,freeze_frame_player_position_name,freeze_frame_teammate,freeze_frame_x,freeze_frame_y,formation_player_id,formation_player_name,formation_position_id,formation_position_name,formation_jersey_number,shot_shot_assist,shot_goal_assist,pass_cluster_id,pass_cluster_label,pass_cluster_probability,pass_success_probability,shot_execution_xg,shot_execution_xg_uplift,gk_save_difficulty_xg,gk_positioning_xg_suppression,gk_shot_stopping_xg_suppression
005c3df1-af65-431b-9bb7-faf368f07947,1345,3857292,1,00:32:35.163,32,35,30,Pass,57,770,Germany,4,From Throw In,770,Germany,10287,İlkay Gündoğan,11,Left Defensive Midfield,82.6,31.0,76.2,20.9,,,0.981584,false,false,,,3167,Antonio Rüdiger,11.957006,-2.1356013,1,Ground Pass,false,false,false,,,false,,,,false,false,0.0226341,0.028435849,-0.0058017485,0.009203394,0.009093228,1.101661E-4,-0.0059119146,,,,,,,40,Right Foot,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,0a3332e1-4c6c-4d70-b4ad-b6982a902084,,,,,,,,,,,,,,,27,Midfield third - Left - To left - Short - Ground Pass,0.7768637477,0.9533007145,,,,,
0a3332e1-4c6c-4d70-b4ad-b6982a902084,1346,3857292,1,00:32:36.145,32,36,42,Ball Receipt*,57,770,Germany,4,From Throw In,770,Germany,3167,Antonio Rüdiger,5,Left Center Back,76.2,20.9,,,,,,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,005c3df1-af65-431b-9bb7-faf368f07947,,,,,,,,,,,,,,,,,,,,,,,
219d7694-b51c-47dc-b935-5022388ab300,1347,3857292,1,00:32:36.145,32,36,43,Carries,57,770,Germany,4,From Throw In,770,Germany,3167,Antonio Rüdiger,5,Left Center Back,76.2,20.9,78.5,22.2,,,1.785709,false,false,,,,,,,,,,,,,,false,,,,false,false,0.024155958,0.0226341,0.0015218575,0.0089995535,0.009203394,-2.038404E-4,0.0017256979,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"0a3332e1-4c6c-4d70-b4ad-b6982a902084, b9c2619b-c1a6-4edd-813b-f4a882dc353b",,,,,,,,,,,,,,,,,,,,,,,
b9c2619b-c1a6-4edd-813b-f4a882dc353b,1348,3857292,1,00:32:37.930,32,37,30,Pass,57,770,Germany,4,From Throw In,770,Germany,3167,Antonio Rüdiger,5,Left Center Back,78.5,22.2,82.2,28.6,,,0.725618,false,false,,,10287,İlkay Gündoğan,7.392564,1.0466167,1,Ground Pass,false,false,false,,,false,,,,false,false,0.02828699,0.024155958,0.004131032,0.009175807,0.0089995535,1.762537E-4,0.0039547784,,,,,,,40,Right Foot,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,cacb2020-f64d-4d29-9c24-a9ec92b318d3,,,,,,,,,,,,,,,2,Attacking third - Center - To right - Short - Ground Pass,0.4686635969,0.9410185218,,,,,
cacb2020-f64d-4d29-9c24-a9ec92b318d3,1349,3857292,1,00:32:38.656,32,38,42,Ball Receipt*,57,770,Germany,4,From Throw In,770,Germany,10287,İlkay Gündoğan,11,Left Defensive Midfield,82.2,28.6,,,,,,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,b9c2619b-c1a6-4edd-813b-f4a882dc353b,,,,,,,,,,,,,,,,,,,,,,,
1176c9b5-e0a0-48dc-93e3-7cee1684c123,1350,3857292,1,00:32:38.656,32,38,43,Carries,57,770,Germany,4,From Throw In,770,Germany,10287,İlkay Gündoğan,11,Left Defensive Midfield,82.2,28.6,77.5,34.4,,,1.987532,false,false,,,,,,,,,,,,,,false,,,,false,false,0.025672715,0.02828699,-0.0026142746,0.00893741,0.009175807,-2.383972E-4,-0.0023758775,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"86c435a5-6283-49e6-9ed7-69f59a770431, cacb2020-f64d-4d29-9c24-a9ec92b318d3",,,,,,,,,,,,,,,,,,,,,,,
86c435a5-6283-49e6-9ed7-69f59a770431,1351,3857292,1,00:32:40.643,32,40,30,Pass,57,770,Germany,4,From Throw In,770,Germany,10287,İlkay Gündoğan,11,Left Defensive Midfield,77.5,34.4,75.8,49.6,,,1.934936,false,false,,,6324,Leon Goretzka,15.29477,1.6821755,1,Ground Pass,false,false,false,,,false,,,,false,false,0.024422329,0.025672715,-0.0012503862,0.009503867,0.00893741,5.664565E-4,-0.0018168427,,,,,,,40,Right Foot,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,591b056b-7242-4d1f-b4b3-f6fe20836a27,,,,,,,,,,,,,,,2,Attacking third - Center - To right - Short - Ground Pass,0.9254735656,0.9806643724,,,,,
591b056b-7242-4d1f-b4b3-f6fe20836a27,1352,3857292,1,00:32:42.578,32,42,42,Ball Receipt*,57,770,Germany,4,From Throw In,770,Germany,6324,Leon Goretzka,9,Right Defensive Midfield,75.8,49.6,,,,,,false,false,,,,,,,,,,,,,,false,,,,false,false,,,,,,,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,86c435a5-6283-49e6-9ed7-69f59a770431,,,,,,,,,,,,,,,,,,,,,,,
dfd3d99c-9ee3-4f12-8dca-4bb274008226,1353,3857292,1,00:32:42.578,32,42,43,Carries,57,770,Germany,4,From Throw In,770,Germany,6324,Leon Goretzka,9,Right Defensive Midfield,75.8,49.6,75.5,49.6,,,0.404434,false,false,,,,,,,,,,,,,,false,,,,false,false,0.024599819,0.024422329,1.774896E-4,0.00945572,0.009503867,-4.81466E-5,2.256362E-4,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"591b056b-7242-4d1f-b4b3-f6fe20836a27, b5b0f1aa-3b1c-4bae-9288-c3970d6a9885",,,,,,,,,,,,,,,,,,,,,,,
b5b0f1aa-3b1c-4bae-9288-c3970d6a9885,1354,3857292,1,00:32:42.983,32,42,30,Pass,57,770,Germany,4,From Throw In,770,Germany,6324,Leon Goretzka,9,Right Defensive Midfield,75.5,49.6,80.9,39.3,,,0.949987,false,false,,,10287,İlkay Gündoğan,11.6297035,-1.0879203,1,Ground Pass,false,false,false,,,false,,,,false,false,0.02865642,0.024599819,0.004056601,0.008991069,0.00945572,-4.646508E-4,0.0045212517,,,,,,,40,Right Foot,,,,,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,4c9541f1-5e74-40f7-8cc5-113c403eb0b1,,,,,,,,,,,,,,,56,Attacking third - Center - To left - Short - Ground Pass,0.9651107769,0.8624854088,,,,,
